Sample_ID,Plot,DateWeighed,DateFiltered,DateDelivered ,FalcoStandingTubeWeight wOutLid.g,WetSampleWeigh.g,DrySample Weigh.g ,Moisture.perc,MoistureDec.,DM.perc,DMDec,Study,Year,Location,SiteYear,Block,TrtNo,Trt,Residue,Herbicide,CovCropStg,CovCrop,CovStgResII,CovStgRes,CovStgResIV,CovStgResIII,Assay,AppTiming,TestHerb.ppm,perc.Recovery,ppmAdjustedto15gdry,Background.ppm,AdjTest-Back.ppm,StdHerb.ppm,Ratio,pyroxasulfone.mgL,DepWashSum.ppm,RyeBio,VetchBio,CloverBio
3VAST3,STD,45183,45187,45187,10.62,15.6,15.38,1.430429129,0.014304291,98.56957087,0.985695709,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,flagleaf,control,control,control,control,control,Control,0 DAT,0.0001,0.000101451,9.75E-05,0.006672747,-0.006575218,0.363089075,-0.018109104,0.0001,na,na,na,na
3VUTC3,UTC,45183,45187,45187,10.51,14.04,13.89,1.079913607,0.010799136,98.92008639,0.989200864,Petris,2023,VA,VA23,na,UTC,No,control,pyroxasulfone,control,control,control,control,control,control,Control,control,0.0001,0.000101092,0.000107991,0.006672747,-0.006564755,na,na,0.0001,na,na,na,na
3VUTC2,UTC,45183,45187,45187,10.63,17.38,17.27,0.636942675,0.006369427,99.36305732,0.993630573,Petris,2023,VA,VA23,na,UTC,No,control,pyroxasulfone,control,control,control,control,control,control,Control,control,0.0002,0.000201282,0.000173712,0.006672747,-0.006499035,na,na,0.0002,na,na,na,na
3VBST4,STD,45183,45187,45187,10.51,15.42,15.19,1.514154049,0.01514154,98.48584595,0.98485846,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,mid-heading,control,control,control,control,control,Control,0 DAT,0.0003,0.000304612,0.000296248,0.006672747,-0.006376499,0.49540007,-0.012871413,0.0003,na,na,na,na
3VDST1,STD,45183,45187,45187,10.61,14.89,14.59,2.056202879,0.020562029,97.94379712,0.979437971,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,EPOST,control,control,control,control,control,Control,21 DAT,0.0003,0.000306298,0.00030843,0.006672747,-0.006364316,0.492890719,-0.012912225,0.0003,na,na,na,na
3VDST2,STD,45183,45187,45187,10.51,14.54,14.29,1.749475157,0.017494752,98.25052484,0.982505248,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,EPOST,control,control,control,control,control,Control,21 DAT,0.0008,0.000814245,0.000839748,0.006672747,-0.005832999,0.492890719,-0.011834264,0.0008,na,na,na,na
3VDST4,STD,45183,45187,45187,10.6,15.89,15.6,1.858974359,0.018589744,98.14102564,0.981410256,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,EPOST,control,control,control,control,control,Control,21 DAT,0.0011,0.001120836,0.001057692,0.006672747,-0.005615055,0.492890719,-0.011392089,0.0011,na,na,na,na
3VUTC1,UTC,45183,45187,45187,10.51,13.61,13.49,0.889547813,0.008895478,99.11045219,0.991104522,Petris,2023,VA,VA23,na,UTC,No,control,pyroxasulfone,control,control,control,control,control,control,Control,control,0.0012,0.00121077,0.001334322,0.006672747,-0.005338425,na,na,0.0012,na,na,na,na
2EUTC3,UTC,45380,na,na,12.951,15.612,15.547,0.418087091,0.004180871,99.58191291,0.995819129,Petris,2022,DE,DE22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.002,0.002008397,0.001929633,0.004081526,-0.002151893,na,na,0.002,na,na,na,na
2VUTC3,UTC,45381,na,na,13.004,15.762,15.734,0.177958561,0.001779586,99.82204144,0.998220414,Petris,2022,VA,VA22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.0019,0.001903387,0.001811364,0.00273538,-0.000924016,na,na,0.0019,na,na,na,na
2PUTC 4,UTC,45606,45607,45612,12.905,19.534,19.543,-0.046052295,-0.000460523,100.0460523,1.000460523,Petri,2022,PA,PA22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.001,0.00099954,0.000767538,0.00136502,-0.000597482,na,na,0.001,na,na,na,na
2PUTC 3,UTC,45606,45607,45612,12.924,15.558,15.564,-0.038550501,-0.000385505,100.0385505,1.000385505,Petri,2022,PA,PA22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.001,0.000999615,0.000963763,0.00136502,-0.000401258,na,na,0.001,na,na,na,na
2EUTC2,UTC,45380,na,na,12.978,15.789,15.72,0.438931298,0.004389313,99.5610687,0.995610687,Petris,2022,DE,DE22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.0039,0.003917194,0.003721374,0.004081526,-0.000360151,na,na,0.0039,na,na,na,na
3PUTC2,UTC,45132,45133,45133,10.71,16.3,16.19,0.679431748,0.006794317,99.32056825,0.993205683,Petris,2023,PA,PA23,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.001,0.001006841,0.000926498,0.0012156,-0.000289102,na,na,0.001,na,na,na,na
2VUTC4,UTC,45381,na,na,12.845,15.045,15.063,-0.119498108,-0.001194981,100.1194981,1.001194981,Petris,2022,VA,VA22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.0025,0.002497016,0.002489544,0.00273538,-0.000245836,na,na,0.0025,na,na,na,na
3EUTC4,UTC,12/12/23,12/13/23,12/13/23,10.716,16.929,16.884,0.26652452,0.002665245,99.73347548,0.997334755,Petris,2023,DE,DE23,na,UTC,No,control,pyroxasulfone,control,control,control,control,control,control,control,control,0,0,0,0,0,na,na,0,na,na,na,na
3EUTC3,UTC,12/12/23,12/13/23,12/13/23,10.761,16.375,16.239,0.837489993,0.0083749,99.16251001,0.9916251,Petris,2023,DE,DE23,na,UTC,No,control,pyroxasulfone,control,control,control,control,control,control,control,control,0,0,0,0,0,na,na,0,na,na,na,na
