Sample_ID,Plot,DateWeighed,DateFiltered,DateDelivered ,FalcoStandingTubeWeight wOutLid.g,WetSample Weigh.g,Study,Year,Location,SiteYear,Block,TrtNo,Trt,Residue,Herbicide,CovCropStg,CovCrop,CovStgResII,CovStgRes,Assay,AppTiming,TestHerb.ppm,StdHerb.ppm,Ratio,Background.ppm,pyroxasulfone.mgL,DepWashSum.ppm,RyeBio,VetchBio,CloverBio,
2E112D,112,45381,na,na,12.983,15.361,Petris,2022,DE,DE22,B1,3,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),deposition,0 DAT,0.2118,0.3,0.706,0.004,0.2118,0.2278,62.6,0,0,
2E208D,208,45381,na,na,12.898,15.028,Petris,2022,DE,DE22,B2,3,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),deposition,0 DAT,0.2603,0.3,0.867601244,0.004,0.2603,0.3003,50.2,0,0,
2E308D,308,45610,na,na,12.956,14.829,Petris,2022,DE,DE22,B3,3,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),deposition,0 DAT,0.3266,0.3,1.088666667,0.004,0.3266,0.3629,93.6,0,0,
2E403D,403,45610,na,na,12.955,17.568,Petris,2022,DE,DE22,B4,3,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),deposition,0 DAT,0.3376,0.3,1.125333333,0.004,0.3376,0.3535,73,0,0,
2E112W,112,45610,na,na,12.917,16.254,Petris,2022,DE,DE22,B1,3,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),washoff,0 DAT,0.016,0.3,0.053333333,0.004,0.016,0.2278,62.6,0,0,
2E208W,208,45381,na,na,12.977,15.421,Petris,2022,DE,DE22,B2,3,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),washoff,0 DAT,0.0156,0.3,0.052063955,0.004,0.0156,0.3003,50.2,0,0,
2E308W,308,45380,na,na,12.943,18.576,Petris,2022,DE,DE22,B3,3,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),washoff,0 DAT,0.0363,0.3,0.121,0.004,0.0363,0.3629,93.6,0,0,
2E403W,403,45605,na,na,12.904,13.599,Petris,2022,DE,DE22,B4,3,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),washoff,0 DAT,0.0159,0.3,0.053,0.004,0.0159,0.3535,73,0,0,
2E104D,104,45610,na,na,12.859,15.54,Petris,2022,DE,DE22,B1,4,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),deposition,0 DAT,0.2158,0.3,0.719333333,0.004,0.2158,0.2462,61.4,0,0,
2E205D,205,45380,na,na,12.999,17.193,Petris,2022,DE,DE22,B2,4,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),deposition,0 DAT,0.448,0.3,1.493214648,0.004,0.448,0.2549,31.6,0,0,
2E309D,309,45610,na,na,12.956,17.713,Petris,2022,DE,DE22,B3,4,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),deposition,0 DAT,0.1382,0.3,0.460666667,0.004,0.1382,0.1545,26.2,0,0,
2E410D,410,45381,na,na,12.927,15.074,Petris,2022,DE,DE22,B4,4,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),deposition,0 DAT,0.2584,0.3,0.861333333,0.004,0.2584,0.2855,41.6,0,0,
2E104W,104,45380,na,na,12.927,17.12,Petris,2022,DE,DE22,B1,4,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),washoff,0 DAT,0.0304,0.3,0.101333333,0.004,0.0304,0.2462,61.4,0,0,
2E205W,205,45381,na,na,13.047,15.302,Petris,2022,DE,DE22,B2,4,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),washoff,0 DAT,0.0443,0.3,0.147727145,0.004,0.0443,0.2549,31.6,0,0,
2E309W,309,45610,na,na,12.964,16.929,Petris,2022,DE,DE22,B3,4,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),washoff,0 DAT,0.0163,0.3,0.054333333,0.004,0.0163,0.1545,26.2,0,0,
2E410W,410,45381,na,na,12.951,15.275,Petris,2022,DE,DE22,B4,4,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),washoff,0 DAT,0.0271,0.3,0.090333333,0.004,0.0271,0.2855,41.6,0,0,
2E106D,106,45610,na,na,13.021,17.27,Petris,2022,DE,DE22,B1,5,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),deposition,0 DAT,0.1954,0.3,0.651333333,0.004,0.1954,0.257,20.2,0,36,
2E209D,209,45605,na,na,12.999,14.67,Petris,2022,DE,DE22,B2,5,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),deposition,0 DAT,0.2847,0.3,0.949,0.004,0.2847,0.1647,33.6,0,20.4,
2E312D,312,45605,na,na,12.802,16.59,Petris,2022,DE,DE22,B3,5,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),deposition,0 DAT,0.2235,0.3,0.745,0.004,0.2235,0.2697,28.8,0,38,
2E407D,407,45610,na,na,12.978,15.418,Petris,2022,DE,DE22,B4,5,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),deposition,0 DAT,0.2105,0.3,0.701666667,0.004,0.2105,0.2545,22.4,0,23.8,
2E106W,106,45610,na,na,13.007,18.337,Petris,2022,DE,DE22,B1,5,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),washoff,0 DAT,0.0616,0.3,0.205333333,0.004,0.0616,0.257,20.2,0,36,
2E209W,209,45610,na,na,12.912,17.764,Petris,2022,DE,DE22,B2,5,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),washoff,0 DAT,0.0224,0.3,0.074814202,0.004,0.0224,0.1647,33.6,0,20.4,
